Intro: RABBIT_1,Intro: DUCK_1,Intro: Ease_1,Q143_1,Q146_1,Q145_1,Expo: Bassline Tonic_1,Expo: Bassline Mod _1,Expo: Bassline Ease_2,Expo: Bassline Mod_1,Expo: Bassline Tonic_1,Expo: Bassline Ease_1,Expo: Soprano Tonic_1,Expo: Soprano Mod_1,Expo: Soprano Ease_1,Expo: Soprano Mod_1,Expo: Soprano Tonic_1,Expo: Soprano Ease _1,Expo: Schema Tonic_1,Expo: Schema Mod_1,Expo: Schema Ease_1,Expo: Schema Mod_1,Expo: Schema Tonic_1,Expo: Schema Ease_1,Recap: Bass Tonic_1,Recap: Bass Mod_1,Recap: Bass Ease_1,Recap: Bass Mod_1,Recap: Bass Tonic_1,Recap: Bass Ease_1,Recap: Sop Tonic_1,Recap: Sop Mod_1,Recap: Sop Ease_1,Recap: Sop Mod_1,Recap: Sop Tonic_1,Recap: Sop Ease_1,Recap: Schema Tonic_1,Recap: Schema Mod_1,Recap: Schema Ease_1,Recap: Schema Mod_1,Recap: Schema Tonic_1,Recap: Schema Ease_1,Education / Training,Education / Training_5_TEXT,Years Theory,Years Skills,Q114,Schemata Expertise,Excerpt Familiarity,Excerpt Analysis,Analytical Listening_1,Analytical Listening_2,Perfect Pitch?,Interpretation App,Interpretation App_8_TEXT,Today's date,Random ID,FL_10_DO,FL_38_DO,FL_7_DO,FL_42_DO,FL_46_DO,FL_57_DO,FL_60_DO,FL_68_DO,FL_72_DO
"Interpretation A:

 

RABBIT

 

Please rate the following:

 

Ease of Seeing this Interpretation - 1","Interpretation B:

 

DUCK

 

Please rate the following:

 

Ease of Seeing this Interpretation - 1","Interpretation A:

 

RABBIT

 

Interpretation B:

 

DUCK

 

Please rate the ease of change between the two interpretations:


 

Ease of Change - 1","Interpretation A:





 

 *note that the  sign indicates a repeated scale degree

 

 

 Please rate the following:

 

Ease of Hearing this Interpretation: - 1","Interpretation B:





 *note that the  sign indicates a repeated scale degree

 

 

 Please rate the following:

 

Ease of Hearing this Interpretation: - 1","Interpretation A:

 



 

 

Interpretation B:

 



 

 

Please rate the ease of change between the two interpretations:

 

Ease of Change - 1","Interpretation A:





Please rate the following:

 

Ease of Hearing this Interpretation - 1","Interpretation B:




 

Please rate the following:

 

Ease of Hearing this Interpretation - 1","Interpretation A:



Interpretation B:



Please rate the ease of change between these two interpretations:

 

Ease of change - 2","Interpretation A:




 

Please rate the following:

 

Ease of Hearing this Interpretation - 1","Interpretation B:





Please rate the following:

 

Ease of Hearing this Interpretation - 1","Interpretation A:





Interpretation B:



Please rate the ease of change between these two interpretations:

 

Ease of change - 1","Interpretation A:





Please rate the following:

 

Ease of Hearing this Interpretation - 1","Interpretation B:





Please rate the following:

 

Ease of Hearing this Interpretation - 1","Interpretation A:



Interpretation B:



 

Please rate the ease of change between these two interpretations:

 

Ease of change - 1","Interpretation A:





Please rate the following:

 

Ease of Hearing this Interpretation - 1","Interpretation B:





Please rate the following:

 

Ease of Hearing this Interpretation - 1","Interpretation A:



Interpretation B:



Please rate the ease of change between these two interpretations:

 

Ease of change - 1","Interpretation A:







Please rate the following:

 

Ease of Hearing this Interpretation - 1","Interpretation B:





 

Please rate the following:

 

Ease of Hearing this Interpretation - 1","Interpretation A:







Interpretation B:







Please rate the ease of change between these two interpretations:

 

Ease of change - 1","Interpretation A:





 

Please rate the following:

 

Ease of Hearing this Interpretation - 1","Interpretation B:







Please rate the following:

 

Ease of Hearing this Interpretation - 1","Interpretation A:





Interpretation B:







Please rate the ease of change between these two interpretations:

 

Ease of change - 1","Interpretation A:





Please rate the following:

 

Ease of Hearing this Interpretation - 1","Interpretation B:





 
 

Please rate the following:

 

Ease of Hearing this Interpretation - 1","Interpretation A:





Interpretation B:





Please rate the ease of change between these two interpretations:

 

Ease of change - 1","Interpretation A:




 

Please rate the following:

 

Ease of Hearing this Interpretation - 1","Interpretation B:





Please rate the following:

 

Ease of Hearing this Interpretation - 1","Interpretation A: 





 

Interpretation B:




Please rate the ease of change between these two interpretations:

 

Ease of change - 1","Interpretation A:





Please rate the following:

 

Ease of Hearing this Interpretation - 1","Interpretation B:




 

Please rate the following:

 

Ease of Hearing this Interpretation - 1","Interpretation A:





Interpretation B:







Please rate the ease of change between these two interpretations:

 

Ease of change - 1","Interpretation A:




 

Please rate the following:

 

Ease of Hearing this Interpretation - 1","Interpretation B:





Please rate the following:

 

Ease of Hearing this Interpretation - 1","Interpretation A:









Interpretation B:





Please rate the ease of change between these two interpretations:

 

Ease of change - 1","Interpretation A:







Please rate the following:

 

Ease of Hearing this Interpretation - 1","Interpretation B:




 

Please rate the following:

 

Ease of Hearing this Interpretation - 1","Interpretation A:

 





Interpretation B:






Please rate the ease of change between these two interpretations:

 

Ease of change - 1","Interpretation A:




 

Please rate the following:

 

Ease of Hearing this Interpretation - 1","Interpretation B:







Please rate the following:

 

Ease of Hearing this Interpretation - 1","Interpretation A:

 





Interpretation B:






Please rate the ease of change between these two interpretations:

 

Ease of change - 1",Please select your education / training level: - Selected Choice,"Please select your education / training level: - Other, please specify: - Text","Please select the number of years of music theory experience (training, teaching):","Please select the number of years of aural skills experience (training, teaching):",Please select your level of fluency with tonal scale degree hearing:,Please select your level of familiarity with Galant Schemata:,Excerpt Familiarity:,I have analyzed this piece before:,Please rate the following statements: - I can hear scale degrees or solfege while listening,Please rate the following statements: - I can hear Galant Schemata while listening,I have perfect pitch:,"In order to hear the interpretations provided in this survey, I did the following (select all that apply): - Selected Choice","In order to hear the interpretations provided in this survey, I did the following (select all that apply): - Other (please specify) - Text",Today's date,Random ID,FL_10 - Block Randomizer - Display Order,FL_38 - Block Randomizer - Display Order,FL_7 - Block Randomizer - Display Order,FL_42 - Block Randomizer - Display Order,FL_46 - Block Randomizer - Display Order,FL_57 - Block Randomizer - Display Order,FL_60 - Block Randomizer - Display Order,FL_68 - Block Randomizer - Display Order,FL_72 - Block Randomizer - Display Order
"{""ImportId"":""QID133_1""}","{""ImportId"":""QID134_1""}","{""ImportId"":""QID138_1""}","{""ImportId"":""QID192_1""}","{""ImportId"":""QID195_1""}","{""ImportId"":""QID194_1""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID43_1""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID56_1""}","{""ImportId"":""QID54_1""}","{""ImportId"":""QID60_1""}","{""ImportId"":""QID62_1""}","{""ImportId"":""QID64_1""}","{""ImportId"":""QID68_1""}","{""ImportId"":""QID94_1""}","{""ImportId"":""QID92_1""}","{""ImportId"":""QID98_1""}","{""ImportId"":""QID73_1""}","{""ImportId"":""QID75_1""}","{""ImportId"":""QID79_1""}","{""ImportId"":""QID86_1""}","{""ImportId"":""QID84_1""}","{""ImportId"":""QID90_1""}","{""ImportId"":""QID101_1""}","{""ImportId"":""QID103_1""}","{""ImportId"":""QID107_1""}","{""ImportId"":""QID111_1""}","{""ImportId"":""QID109_1""}","{""ImportId"":""QID115_1""}","{""ImportId"":""QID117_1""}","{""ImportId"":""QID119_1""}","{""ImportId"":""QID123_1""}","{""ImportId"":""QID127_1""}","{""ImportId"":""QID125_1""}","{""ImportId"":""QID131_1""}","{""ImportId"":""QID144""}","{""ImportId"":""QID144_5_TEXT""}","{""ImportId"":""QID145""}","{""ImportId"":""QID146""}","{""ImportId"":""QID155""}","{""ImportId"":""QID147""}","{""ImportId"":""QID149""}","{""ImportId"":""QID150""}","{""ImportId"":""QID151_1""}","{""ImportId"":""QID151_2""}","{""ImportId"":""QID154""}","{""ImportId"":""QID152""}","{""ImportId"":""QID152_8_TEXT""}","{""ImportId"":""Today's date""}","{""ImportId"":""Random ID""}","{""ImportId"":""FL_10_DO""}","{""ImportId"":""FL_38_DO""}","{""ImportId"":""FL_7_DO""}","{""ImportId"":""FL_42_DO""}","{""ImportId"":""FL_46_DO""}","{""ImportId"":""FL_57_DO""}","{""ImportId"":""FL_60_DO""}","{""ImportId"":""FL_68_DO""}","{""ImportId"":""FL_72_DO""}"
7,7,7,5.6,6.2,6,7,2.9,3,,,,1,6,1,,,,,,,6.3,4.3,4.2,4.1,7,4.2,,,,1,4.7,1,,,,,,,7,4.1,4.1,Professor,,10 + years,10 + years,"I am an expert, scale degree hearing is effortless",Completely unfamiliar,I have heard this before,"No, not at all",7,1,No,"I have no idea, I could just hear it!,I imagined scale degrees or solfege as I listened,I imagined or sung/spoke the interpretation between listenings",,5/19/2022,913,FL_35|FL_33,FL_39|FL_36|FL_37,Exposition:Bassline(Order1),Exposition:Soprano(Order1),Exposition:Schema(Order2),FL_63|FL_58|FL_64,Recap:Bassline(Order1),Recap:Soprano(Order1),Recap:Schema(Order2)
2.1,6.2,4.8,4.8,5.5,4.1,,,,5.4,5.1,4.7,,,,2.8,6.1,3.8,,,,6.6,5,5,,,,5.2,5.5,4.7,,,,6.9,5.4,5.1,6,6.3,4.5,,,,Graduate Student,,5-10 years,5-10 years,Somewhat fluent,Familiar,This was the first time I have heard this,"No, not at all",6.2,5.7,No,I imagined scale degrees or solfege as I listened,,5/19/2022,834,FL_33|FL_35,FL_37|FL_36|FL_39,Exposition:Bassline(Order2),Exposition:Soprano(Order2),Exposition:Schema(Order2),FL_58|FL_63|FL_64,Recap:Bassline(Order2),Recap:Soprano(Order2),Recap:Schema(Order1)
6.1,5.6,6.3,6.8,5.1,4.7,,,,5.9,6.5,6,,,,6.5,6.9,6.4,6.8,6.9,6.9,,,,,,,6.4,5.7,6.8,5,6,5.4,,,,5.6,6.3,5.3,,,,Graduate Student,,1-2 years,3-5 years,Fluent,Somewhat familiar,I have heard this before,"No, not at all",5.3,4.5,No,"I imagined scale degrees or solfege as I listened,I sang or spoke (without scale degrees or solfege)",,5/19/2022,719,FL_35|FL_33,FL_37|FL_36|FL_39,Exposition:Bassline(Order2),Exposition:Soprano(Order2),Exposition:Schema(Order1),FL_64|FL_63|FL_58,Recap:Bassline(Order2),Recap:Soprano(Order1),Recap:Schema(Order1)
5,7,4.3,4.6,6.7,3,4.6,5.8,6,,,,2.4,5.2,3.4,,,,6.2,7,4.9,,,,5,7,5,,,,,,,2.7,1.6,1.9,,,,7,4.7,3.2,Graduate Student,,5-10 years,5-10 years,Fluent,Very familiar,This was the first time I have heard this,"No, not at all",5.5,4.9,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening",,5/20/2022,862,FL_33|FL_35,FL_37|FL_36|FL_39,Exposition:Bassline(Order1),Exposition:Soprano(Order1),Exposition:Schema(Order1),FL_63|FL_58|FL_64,Recap:Bassline(Order1),Recap:Soprano(Order2),Recap:Schema(Order2)
7,6.6,6.9,7,7,7,,,,6.2,7,6.3,7,6.3,7,,,,6.7,6.7,7,,,,7,5.6,6.2,,,,6.3,6,5.2,,,,7,6.1,6.5,,,,Professor,,10 + years,10 + years,"I am an expert, scale degree hearing is effortless",Very familiar,This was the first time I have heard this,"No, not at all",7,7,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening",,5/20/2022,686,FL_35|FL_33,FL_36|FL_37|FL_39,Exposition:Bassline(Order2),Exposition:Soprano(Order1),Exposition:Schema(Order1),FL_63|FL_64|FL_58,Recap:Bassline(Order1),Recap:Soprano(Order1),Recap:Schema(Order1)
7,7,7,7,7,7,,,,7,6.5,6.5,,,,7,7,7,,,,7,7,7,,,,7,7,7,,,,7,7,7,,,,7,7,7,Professor,,10 + years,10 + years,"I am an expert, scale degree hearing is effortless","I am an expert (analysis, playing, composition, etc.)",This was the first time I have heard this,"No, not at all",7,7,No,"I imagined scale degrees or solfege as I listened,I imagined or sung/spoke the interpretation between listenings",,5/21/2022,358,FL_35|FL_33,FL_36|FL_39|FL_37,Exposition:Bassline(Order2),Exposition:Soprano(Order2),Exposition:Schema(Order2),FL_64|FL_58|FL_63,Recap:Bassline(Order2),Recap:Soprano(Order2),Recap:Schema(Order2)
7,7,6.1,6,7,2,5,4,1,,,,,,,4,4,1,,,,4,2,1,5.1,3,1,,,,4,2,1,,,,4,4,2,,,,Postdoctoral Researcher,,10 + years,10 + years,Somewhat fluent,Somewhat familiar,This was the first time I have heard this,"No, not at all",4,2,No,"I imagined scale degrees or solfege as I listened,I subvocalized (silent rehearsal, spoken or sung) scale degrees or solfege while listening,I sang or spoke (without scale degrees or solfege)",,5/21/2022,998,FL_33|FL_35,FL_39|FL_37|FL_36,Exposition:Bassline(Order1),Exposition:Soprano(Order2),Exposition:Schema(Order2),FL_63|FL_58|FL_64,Recap:Bassline(Order1),Recap:Soprano(Order1),Recap:Schema(Order1)
7,7,7,,3,2,5.2,1.3,1.2,,,,6.5,1.4,1.3,,,,6,1.2,1.3,,,,,,,2.5,7,1.2,6,1.3,1,,,,,,,1.8,6.4,1.6,Postdoctoral Researcher,,10 + years,5-10 years,Fluent,Somewhat familiar,I have heard this before,"No, not at all",6,5.1,No,I spoke or sang scale degrees or solfege while listening,,5/23/2022,473,FL_35|FL_33,FL_39|FL_36|FL_37,Exposition:Bassline(Order1),Exposition:Soprano(Order1),Exposition:Schema(Order1),FL_63|FL_58|FL_64,Recap:Bassline(Order2),Recap:Soprano(Order1),Recap:Schema(Order2)
